f_property_type,f_room_type,f_room_type2,f_neighbourhood_cleansed,f_bathrooms_text,n_accommodates,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_beds,n_days_since,d_stove,d_hdtv,d_tv,d_conditioning,d_soundsystem,d_refrigerator,d_shampoo,d_soap,d_oven,d_toiletries,d_speaker,d_fan,d_heating,d_breakfast,d_table,d_dishwasher,d_dryer,d_elevator,d_fitness,d_parking,d_garage,d_wifi,d_game,d_garden,d_gym,d_restaurant,d_bar,d_washer,d_barbeque,d_bbq,price,id,neighbourhood_cleansed,neighbourhood_group_cleansed,room_type,property_type,ln_price
Entire apartment,Entire home/apt,Entire/Apt,Midtown,1 bath,2,94,48,0.36,30,1,4038,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,175,2595,Midtown,Manhattan,Entire home/apt,Entire apartment,5.1647859739235145
Private room in apartment,Private room,Private,Midtown,1 bath,2,84,474,3.36,2,1,4237,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,65,5178,Midtown,Manhattan,Private room,Private room in apartment,4.174387269895637
Private room in apartment,Private room,Private,Upper West Side,1 shared bath,1,98,118,0.86,2,1,4113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,75,5203,Upper West Side,Manhattan,Private room,Private room in apartment,4.31748811353631
Private room in apartment,Private room,Private,East Harlem,1 shared bath,1,98,233,1.72,30,1,4062,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,62,6990,East Harlem,Manhattan,Private room,Private room in apartment,4.127134385045092
Private room in apartment,Private room,Private,East Harlem,1 shared bath,1,NA,0,NA,30,2,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,7750,East Harlem,Manhattan,Private room,Private room in apartment,4.564348191467836
Entire apartment,Entire home/apt,Entire/Apt,Hell's Kitchen,1 bath,2,90,58,0.43,30,1,4086,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,9357,Hell's Kitchen,Manhattan,Entire home/apt,Entire apartment,5.0106352940962555
Entire apartment,Entire home/apt,Entire/Apt,East Village,1 bath,3,94,35,0.26,14,1,4112,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,160,9657,East Village,Manhattan,Entire home/apt,Entire apartment,5.075173815233827
Private room in apartment,Private room,Private,Harlem,1 shared bath,2,98,98,1.24,30,1,2376,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,9704,Harlem,Manhattan,Private room,Private room in apartment,4.007333185232471
Private room in apartment,Private room,Private,East Village,1 shared bath,2,88,265,1.96,2,1,4063,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,40,12192,East Village,Manhattan,Private room,Private room in apartment,3.6888794541139363
Entire apartment,Entire home/apt,Entire/Apt,Harlem,1 bath,3,96,107,0.8,30,1,3996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,12343,Harlem,Manhattan,Entire home/apt,Entire apartment,5.0106352940962555
Entire apartment,Entire home/apt,Entire/Apt,Kips Bay,1 bath,1,96,20,0.19,30,1,3162,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,200,14322,Kips Bay,Manhattan,Entire home/apt,Entire apartment,5.298317366548036
Entire condominium,Entire home/apt,Entire/Apt,Nolita,1 bath,2,91,26,0.3,30,2,2628,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,150,15341,Nolita,Manhattan,Entire home/apt,Entire condominium,5.0106352940962555
Entire apartment,Entire home/apt,Entire/Apt,Chelsea,2 baths,4,100,5,0.09,30,2,1724,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,375,15396,Chelsea,Manhattan,Entire home/apt,Entire apartment,5.926926025970411
Entire apartment,Entire home/apt,Entire/Apt,Upper East Side,1 bath,6,94,83,0.62,30,4,3992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,270,15711,Upper East Side,Manhattan,Entire home/apt,Entire apartment,5.598421958998375
Private room in apartment,Private room,Private,East Village,1 shared bath,1,93,119,1.17,1,1,3041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,69,16821,East Village,Manhattan,Private room,Private room in apartment,4.23410650459726
Entire apartment,Entire home/apt,Entire/Apt,East Village,1 bath,2,96,53,0.41,30,1,3908,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,250,17037,East Village,Manhattan,Entire home/apt,Entire apartment,5.521460917862246
Private room in apartment,Private room,Private,Washington Heights,1 shared bath,2,98,60,1.25,2,1,1439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,65,17693,Washington Heights,Manhattan,Private room,Private room in apartment,4.174387269895637
Entire apartment,Entire home/apt,Entire/Apt,East Village,1 bath,2,97,21,0.17,30,1,3738,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,176,18127,East Village,Manhattan,Entire home/apt,Entire apartment,5.170483995038151
Private room in apartment,Private room,Private,Kips Bay,1 bath,2,100,1,0.02,30,1,1725,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,95,18961,Kips Bay,Manhattan,Private room,Private room in apartment,4.553876891600541
Entire apartment,Entire home/apt,Entire/Apt,Harlem,1 bath,3,94,58,0.46,31,2,3823,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,110,19159,Harlem,Manhattan,Entire home/apt,Entire apartment,4.700480365792417
Entire apartment,Entire home/apt,Entire/Apt,Upper West Side,1 bath,2,94,83,0.63,30,0,3923,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,21456,Upper West Side,Manhattan,Entire home/apt,Entire apartment,4.59511985013459
Private room in apartment,Private room,Private,Harlem,1 shared bath,1,100,3,0.11,30,0,794,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,21644,Harlem,Manhattan,Private room,Private room in apartment,4.59511985013459
Private room in apartment,Private room,Private,Chelsea,1 shared bath,2,99,36,0.28,30,1,3862,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,85,21794,Chelsea,Manhattan,Private room,Private room in apartment,4.442651256490317
Private room in apartment,Private room,Private,Harlem,1 shared bath,2,95,190,1.54,1,1,3692,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,100,25696,Harlem,Manhattan,Private room,Private room in apartment,4.605170185988092
Private room in apartment,Private room,Private,Hell's Kitchen,Half-bath,1,91,374,2.9,2,1,3862,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,26362,Hell's Kitchen,Manhattan,Private room,Private room in apartment,4.07753744390572
Entire apartment,Entire home/apt,Entire/Apt,Upper West Side,1.5 baths,4,92,28,0.24,30,3,3515,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,225,27006,Upper West Side,Manhattan,Entire home/apt,Entire apartment,5.41610040220442
Entire apartment,Entire home/apt,Entire/Apt,Harlem,1 bath,6,95,209,1.84,2,1,3398,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,170,27644,Harlem,Manhattan,Entire home/apt,Entire apartment,5.135798437050262
Entire apartment,Entire home/apt,Entire/Apt,Upper West Side,1 bath,2,92,20,0.16,30,2,3768,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,170,27759,Upper West Side,Manhattan,Entire home/apt,Entire apartment,5.135798437050262
Entire apartment,Entire home/apt,Entire/Apt,East Village,1 bath,3,97,25,0.2,30,2,3741,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,27883,East Village,Manhattan,Entire home/apt,Entire apartment,4.605170185988092
Entire apartment,Entire home/apt,Entire/Apt,Upper East Side,1 bath,4,99,21,0.16,30,2,3846,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,28907,Upper East Side,Manhattan,Entire home/apt,Entire apartment,5.0106352940962555
Entire apartment,Entire home/apt,Entire/Apt,East Village,1 bath,3,96,111,0.86,30,1,3852,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,145,29683,East Village,Manhattan,Entire home/apt,Entire apartment,4.976733742420574
Private room in apartment,Private room,Private,Upper West Side,1 shared bath,2,97,66,0.52,30,1,3826,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,99,31130,Upper West Side,Manhattan,Private room,Private room in apartment,4.59511985013459
Entire apartment,Entire home/apt,Entire/Apt,West Village,1 bath,2,94,31,0.26,30,1,3623,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,100,31555,West Village,Manhattan,Entire home/apt,Entire apartment,4.605170185988092
Entire apartment,Entire home/apt,Entire/Apt,East Village,1 bath,1,100,3,0.03,14,1,3023,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,160,32329,East Village,Manhattan,Entire home/apt,Entire apartment,5.075173815233827
Entire apartment,Entire home/apt,Entire/Apt,East Village,1 bath,3,88,34,0.27,1,2,3748,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,125,33014,East Village,Manhattan,Entire home/apt,Entire apartment,4.8283137373023015
Entire apartment,Entire home/apt,Entire/Apt,Upper West Side,1 bath,2,100,20,0.17,120,1,3484,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,150,33156,Upper West Side,Manhattan,Entire home/apt,Entire apartment,5.0106352940962555
Private room in apartment,Private room,Private,East Harlem,1 private bath,2,95,34,0.27,30,1,3721,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,79,36647,East Harlem,Manhattan,Private room,Private room in apartment,4.3694478524670215
Entire condominium,Entire home/apt,Entire/Apt,West Village,1 bath,2,98,136,1.08,30,2,3775,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,200,36703,West Village,Manhattan,Entire home/apt,Entire condominium,5.298317366548036
Entire apartment,Entire home/apt,Entire/Apt,Upper East Side,1 bath,4,83,265,2.47,1,1,3221,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,99,39267,Upper East Side,Manhattan,Entire home/apt,Entire apartment,4.59511985013459
Private room in apartment,Private room,Private,Hell's Kitchen,NA,2,97,44,0.35,30,1,3755,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,139,39572,Hell's Kitchen,Manhattan,Private room,Private room in apartment,4.9344739331306915
Private room in apartment,Private room,Private,Upper West Side,1 private bath,2,91,181,1.47,1,1,3703,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,102,39586,Upper West Side,Manhattan,Private room,Private room in apartment,4.624972813284271
Entire apartment,Entire home/apt,Entire/Apt,Tribeca,1 bath,6,97,12,0.87,30,5,411,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,250,43726,Tribeca,Manhattan,Entire home/apt,Entire apartment,5.521460917862246
Entire apartment,Entire home/apt,Entire/Apt,West Village,1 bath,2,95,87,0.69,30,1,3758,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,170,44288,West Village,Manhattan,Entire home/apt,Entire apartment,5.135798437050262
Entire apartment,Entire home/apt,Entire/Apt,Harlem,1 bath,4,96,18,0.66,30,2,822,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,45542,Harlem,Manhattan,Entire home/apt,Entire apartment,4.605170185988092
